,id,created_at,user_location,text,subkeywords
139,1238103655942889473,Thu Mar 12 14:04:49 +0000 2020,Bristol,BJ: Seems very relevant to protect those around us who are vulnerable while we wait for #CoronaVirusUpdate. #CobraMeeting https://t.co/8zgtFpNZWS,"['corona', 'coronavirus']"
141,1246782142115430408,Sun Apr 05 12:50:01 +0000 2020,Jerusalem • Los Angeles,"Now more than ever, program designers and communicators need to be following social marketing principles to influence behavior to slow the spread of #covid19. 

#socmar #healthcomm https://t.co/HunjigeK9A","['covid', 'covid19']"
142,1244607342597017600,Mon Mar 30 12:48:08 +0000 2020,London,🟧Unilever's efforts to tackle spread of #Covid19. I'm going to try and find out if any of their soap will make it to Nepal. @theglaciertrust https://t.co/HS2Vyp0R2C,"['covid', 'covid19']"
146,1270642243741683712,Wed Jun 10 09:01:32 +0000 2020,International,"Fabulous article from CEI's own Dr @jhateleybrowne on a ""behavioural vaccine for #COVID19"" https://t.co/Drtr2VEsPA","['covid', 'covid19']"
179,1236038733448777729,Fri Mar 06 21:19:33 +0000 2020,"Hamilton, Ontario","Yet another reason why vulnerable populations' participation in health-system decision-making and planning when making public health recommendations during times of major disease outbreak and #globalhealth emergencies. 

#COVIDー19 #publicparticipation https://t.co/eT3ZvKVNar",['covid']
182,1260391074171727872,Wed May 13 02:07:03 +0000 2020,"Cuttack, India",Request to all inhabitants of Angul to follow the lockdown 3 guideline and follow the message of respected DC Angul @APAA #COVID19 https://t.co/a9d6UD0dly,"['covid', 'covid19']"
187,1242386441021394947,Tue Mar 24 09:43:04 +0000 2020,,"Has any research been done with human breast milk to treat or cure covid 19? I apologize if this is a waste of time but I woke in the middle of the night with this thought for some very odd reason and had a major need to send this message to someone of significance.

Gerry Potvin https://t.co/5Jkm4FW7Cv",['covid']
192,1250331540606709760,Wed Apr 15 07:54:03 +0000 2020,London UK web Rec.uk.com,Good factual look at how we have responded so far to #COVID19 @FT https://t.co/ohfEu6WHW2,"['covid', 'covid19']"
195,1238467107899179008,Fri Mar 13 14:09:02 +0000 2020,"Oxford, England","Bravo to Dr Kate Orkin of the @BlavatnikSchool! 👏🏻👏🏻👏🏻
Absolutely fabolous (and very helpful) feature. #Beyond100Days #coronavirus https://t.co/2kuR1KhgWA","['corona', 'coronavirus']"
202,1258026248258772992,Wed May 06 13:30:05 +0000 2020,"Geneva, Switzerland","This is a must-read for anyone designing services related to, but not limited, to #COVID19.

""We have to avoid creating all of these sort of hoops that people have to jump through in order to access benefits...if we do that we leave the most vulnerable out."" https://t.co/ZriDxDTATh","['covid', 'covid19']"
204,1239900122236047361,Tue Mar 17 13:03:20 +0000 2020,Barnet,Analysis by @Colinstrong and colleagues. Learning from the last recession provides one reference point ⬇️ #Coronavirus #COVID2019 #mrx #brand https://t.co/u76yaFbIwP,"['corona', 'coronavirus', 'covid']"
217,1266141205475328001,Thu May 28 22:56:01 +0000 2020,,A simple risk assessment to check if your school is safe to open #COVID19 #coronavirus #schoolopening #notJune https://t.co/Gc4GkilALn,"['corona', 'coronavirus', 'covid', 'covid19']"
222,1259495558240141312,Sun May 10 14:48:36 +0000 2020,"England, United Kingdom",Crisis communication is everything during this #COVID19 crisis https://t.co/0TEUr9uJ0a,"['covid', 'covid19']"
226,1235197362907369477,Wed Mar 04 13:36:14 +0000 2020,"Tallahassee, FL","Couldn’t agree more. 
How best to add #Micro101 to the public education system?

#covid19 #SARSCoV2 https://t.co/SbQwdlPvfD","['covid', 'covid19']"
227,1238325234102603776,Fri Mar 13 04:45:17 +0000 2020,BrisVegas,Here are recommendations for a more strategic approach to dealing with people's reactions to the COVID19 pandemic #health #covid19 #behaviorchange https://t.co/pdm8Y8zjYf,"['pandemic', 'covid', 'covid19']"
235,1242208709352263681,Mon Mar 23 21:56:50 +0000 2020,,"""Right now we are sacrificing basic freedom of movement and assembly, freedom to go to school or to work."" Taiwan and Singapore show different choices. What choice will you side with? #COVID19 #freedomfromfreedomto https://t.co/EZYB47WYiR","['covid', 'covid19']"
243,1243909045691355136,Sat Mar 28 14:33:21 +0000 2020,"Male', Maldives","Climate resilience is an integral part of mitigating and preventing disasters.

We will switch off the #COVID19  NEOC for @earthhour and continue to work towards climate and disaster resilience.

Hey, @HPA_MV, how will you switch off for #EarthHourMV? https://t.co/kUxfNB6AZJ","['covid', 'covid19']"
262,1256181399150891008,Fri May 01 11:19:18 +0000 2020,Southport uk,"Just waiting for the day when any news flash has an appropriate health official who may know their arse from their sodding elbow !
I swear I think they are just guessing now and hoping for the best #coronavirus https://t.co/Q8C0AT00Jl","['corona', 'coronavirus']"
268,1238828418902392835,Sat Mar 14 14:04:46 +0000 2020,CanterburyChristChurchUniv. UK,A very short thread on #coronavirus #COVID19 and the importance of social consent to successfully deliver an effective response. https://t.co/vcNPF2N7FN,"['corona', 'coronavirus', 'covid', 'covid19']"
270,1243506866996629504,Fri Mar 27 11:55:14 +0000 2020,London,"this is an absolutely brilliant guide for #remoteworking  full of practical tips to stay Happy, Healthy and Productive in these times of #COVID19 

DOWNLOAD IT NOW: https://t.co/0ZV1MzSZT8 https://t.co/7JaWTSdA0i","['covid', 'covid19']"
285,1245497121853276160,Wed Apr 01 23:43:48 +0000 2020,Toronto,"And here we were, just picking on Richard Epstein and Adrian Vermeule. This proves we can also mock liberal law professors too, not just #libertarians and #CatholicIntegralists! Soon we’ll be asking what law professor at an elite law school is not spouting #COVID19 nonsense. https://t.co/aF7nqz3TPZ","['covid', 'covid19']"
289,1245597178522791937,Thu Apr 02 06:21:24 +0000 2020,"London, Europe",Just a reminder of what the UK govt was doing three weeks' ago. #COVID19 https://t.co/WaBuNntW84,"['covid', 'covid19']"
301,1238335195134058497,Fri Mar 13 05:24:52 +0000 2020,Brisbane,See the #coronavirus #Covid_19 statement from @AASM_Aus https://t.co/ebBI1Bv0E1,"['corona', 'coronavirus', 'covid']"
304,1264630157169623040,Sun May 24 18:51:39 +0000 2020,Europe,"Health &amp; social care professionals throughout the U.K. have spent months keeping the public safe. Many gave up time with families. 

Today the government trampled over the public health advice.

And why is #Cummings more important than millions of others? 

#COVID19 https://t.co/KKUA2SIYRh","['covid', 'covid19']"
310,1239535677555048450,Mon Mar 16 12:55:09 +0000 2020,"Nottingham, England","Really useful thread on ways for UK government to mitigate financial precarity as part of #COVID19 response. Low hours may mean no sick pay, staying home as a precaution when not yet actually sick could get you fired, etc. #Money is a #health issue. https://t.co/NoxfossYhn","['covid', 'covid19']"
319,1239877036195233792,Tue Mar 17 11:31:35 +0000 2020,"Sydney, Australia","Norman, how long after contact with a #COVID19 sufferer would you expect to become infectious, as distinct from showing symptoms? @normanswan https://t.co/jBV81R4DIn","['covid', 'covid19']"
320,1249842440724525059,Mon Apr 13 23:30:33 +0000 2020,"Manchester, England","Covid 19 has been detected in 2,000 carehomes. Covid is in the cocoon. https://t.co/B0CKyLzCp4",['covid']
322,1246394407403872268,Sat Apr 04 11:09:18 +0000 2020,Toronto,"Fabulous thread
#change #motivation #COVID19 https://t.co/XXw5XLGUBA","['covid', 'covid19']"
335,1252135137283883009,Mon Apr 20 07:20:54 +0000 2020,"Gujarat, India","This Things have to be hammered everyday, everytime coz this is the only way by which we will be able to win against corona virus. We cannot live in a fantasy that after 3rd may everything will be ok. Utter care has to be taken post lockdown gets over also. 

@AmdavadAMC @vnehra https://t.co/XqWJOC18QW",['corona']
338,1262707598890917888,Tue May 19 11:32:06 +0000 2020,"Mumbai, Maharashtra","@HarvardChanIRC &amp; @Project_SANCHAR are glad to collaborate with @AshokaUniv to co-host a #webinar that seeks to discuss the role of civil society in redefining #social norms regarding #publichealth  post #lockdown. 

⏲️: 6:30 pm IST
🗓️: 21 May 

#COVID19 #BehaviourallySpeaking https://t.co/K1ELp3Fv27","['covid', 'covid19']"
349,1239624031885832193,Mon Mar 16 18:46:14 +0000 2020,London,Brits approach to #Covid19 https://t.co/xupNXxqlBt,"['covid', 'covid19']"
365,1240385633308336128,Wed Mar 18 21:12:34 +0000 2020,"Hackney, London",Recorded shortly before govt announced school closures. It's great seeing #NHSheroes being honest about challenges with #covid19UK https://t.co/4wL1TaPgWg,"['covid', 'covid19']"
368,1236880521637941254,Mon Mar 09 05:04:31 +0000 2020,"Bay Area, CA","Rest of world moved to 24/7 news cycle, work week, data sharing, &amp; virtual social connection. Most governments have not. Best &amp; most current sources of #COVID19 info, tracking, etc in US r coming from private sources. Solutions, too. (To be fair, some may be funded by govt.) https://t.co/kP4lsu9C4t","['covid', 'covid19']"
371,1264632928895721475,Sun May 24 19:02:40 +0000 2020,"Kent, South East, England","Read this thread. Govt credibility and direction in this still current pandemic (remember hundreds of families are still mounting the isolated death of loved ones every day) is severely damaged, and for what, the protection of an unelected advisor who acted recklessly #COVID19 https://t.co/qP4xL9Vklr","['pandemic', 'covid', 'covid19']"
373,1237789417290510337,Wed Mar 11 17:16:08 +0000 2020,Ireland,"#coronavirus #COVID19 

 11 March 2020  - 

It’s time to get really serious about keeping our distance and adhering to the guidelines about hygiene. https://t.co/AQ4vbfvAXk","['corona', 'coronavirus', 'covid', 'covid19']"
398,1238238095054647297,Thu Mar 12 22:59:01 +0000 2020,England 😷,"Have to say that I’m extremely worried that the Govt’s approach to managing the #CoronaOutbreak is based on behavioural “science”. I’d rather it was based on medical science, since much behavioural “science” is hit &amp; miss at best. #CoronavirusPandemic #Cobra","['pandemic', 'corona', 'coronavirus']"
410,1244582389340418049,Mon Mar 30 11:08:59 +0000 2020,,"Working with @DFID_UK, we're launching a global programme to tackle the spread of #Covid19 through increasing access to hygiene products, a mass public awareness campaign and a hygiene behaviour-change programme. https://t.co/V8b5j0rZZA https://t.co/TtfwpksVaj","['covid', 'covid19']"
417,1239536009022525441,Mon Mar 16 12:56:28 +0000 2020,"London, UK","Another key stat: c.500,000 people aged over 70 are in work. Equates to 1 in 12 of those in their 70s and is double ten years ago. Makes these issues all the more important: https://t.co/elxCqXLnyi #COVID19","['covid', 'covid19']"
430,1239104902498050048,Sun Mar 15 08:23:24 +0000 2020,london,Think before you buy and only buy what you need you morons!!! #COVID19 https://t.co/izDnGXfep5,"['covid', 'covid19']"
435,1257993352085147648,Wed May 06 11:19:22 +0000 2020,Sri Lanka,"I talk with Saugato Datta, a behavioral economist w/ @ideas42 on how behavioral science can inform responses to #COVID19 in #Southasia. He has many insights I hadn't considered before - including how cognitive restraints &amp; biases impact how we respond to policy. @sd268 #SriLanka https://t.co/augpvwjMJD","['covid', 'covid19']"
437,1259527287306936325,Sun May 10 16:54:40 +0000 2020,London,@BorisJohnson @10DowningStreet @conservatives This sound about right. Hopefully the country will begin to wake up soon. @HouseofCommons @labour @LibDems #COVID19 #covid19UK #UKGoverment https://t.co/y6CJbne91U,"['covid', 'covid19']"
438,1246070219396661254,Fri Apr 03 13:41:05 +0000 2020,Shithole of Europe /#ACNH,"Hurray ! 👏😁
Just what we need right now 
MORE SLOGANS 
Who needs #COVID19DeathHouses &amp; #NHS 
When we can #GetCovidGone 🙄 https://t.co/bWyWdJyzGl","['covid', 'covid19']"
443,1252643817695502338,Tue Apr 21 17:02:13 +0000 2020,"New Delhi, India","An  informative piece by CSBC's @Saksham94Singh &amp; Aditya Laumas on behaviourally informed guidelines for neighbourhood grocery and chemist shops to avoid becoming #COVIDー19 hotspots
#BehavioralScience #lockdown #behaviorchange https://t.co/EvTucgcPQP",['covid']
453,1262686543526998021,Tue May 19 10:08:26 +0000 2020,"South London, England","""If every person in the UK used one single-use mask each day for a year,that would create 66,000 tonnes of contaminated plastic waste and create ten timesmore climate change impact than using reusable masks"" #covidcrisis #ClimateCrisis https://t.co/n0FGEtw5TN",['covid']
459,1246811169865650181,Sun Apr 05 14:45:22 +0000 2020,Ahmedabad - INDIA,"Prof Jeevant Rampal @IIMAhmedabad shares some policy tips based on #behavioural #economics that can help mitigate India’s #Covid19 panic. Your comments are welcomed.
 https://t.co/W0BrNHIyZ7 

#policymakers #goodread @jeevantrampal #BeSafeGoDigital","['covid', 'covid19']"
490,1262411966653648896,Mon May 18 15:57:21 +0000 2020,"Cambridge, England","In the third post of our Coronavirus series, we put on a future lens and ask which consumer behaviours will stick better than others. Interestingly, those that enhance human-to-human connection win, except home schooling which most seem to be struggling with. I know I do! https://t.co/g6keDQkkN5","['corona', 'coronavirus']"
495,1264891034997268485,Mon May 25 12:08:17 +0000 2020,Glasgow,"#Scotland, please trust in the @scotgov advice on #COVIDー19. Whatever your political sway, surely you can see that @NicolaSturgeon has been dedicated to a steady, informed, cautious approach. #StayHomeSaveLives #coronavirus https://t.co/f8glEtIO9d","['corona', 'coronavirus', 'covid']"
500,1259450754735243264,Sun May 10 11:50:34 +0000 2020,Mubble-Fubbles,"There you have it: cause &amp; effect ... which will translate into a 2nd wave of #COVID19 cases &amp; a more severe #Lockdown. Those of us that have strictly observed the lockdown throughout hope all the #Singing #Congas &amp; #BoatSongs don’t cost lives 😡😡#Raging

#COVIDIOTS  #ToriesOut https://t.co/AOEjVZwoL0","['covid', 'covid19']"
509,1252555162599788544,Tue Apr 21 11:09:56 +0000 2020,Mumbai,"We are pleased to announce our partnership with @ThriveAgencyUK to help spread correct, engaging content on preventing covid-19. 
It is our responsibility to ensure that Saathealth users are equipped with the right information. #coronavirusinindia #techforgood https://t.co/PkDmqrXRaS","['corona', 'coronavirus', 'covid', 'covid-19']"
511,1266662825591791616,Sat May 30 09:28:45 +0000 2020,,"ICYMT from #IndependentSAGE 
#coronavirus 
#KeepTheLockdown 
#KeepSchoolsClosed https://t.co/L6hbNbQfcG","['corona', 'coronavirus']"
512,1246808106279059456,Sun Apr 05 14:33:11 +0000 2020,"Manchester, England","We are being run by a crooked, morally corrupt bunch of liars known as the Tory Party. Hope people remember this at the next election. #ToryLiesCostLives #COVID19 https://t.co/yedbsS1z06","['covid', 'covid19']"
513,1240736314036826112,Thu Mar 19 20:26:03 +0000 2020,"London, England",Big up the @Dan_Berry79! on good covid messaging behaviour @HK_London https://t.co/9DZLbqJPHg,['covid']
519,1242275527660056576,Tue Mar 24 02:22:20 +0000 2020,"Ottawa, Ontario","Here is a thread of bad takes on #COVID19 by the literati. Humans are generally pretty bad in thinking/estimating tail risks. That of course never stops pundits to pontificate about ""overreaction"" or offer platitudes such as ""the cure is worse than the disease."" https://t.co/tvGrO1k81m","['covid', 'covid19']"
529,1269846684034465792,Mon Jun 08 04:20:16 +0000 2020,"Melbourne, Australia","Congratulations to New Zealand: No-one with (known) #COVID19 &amp; no new case in 17 days.
Australia can get there too by applying a “behavioural vaccine”: “keep SAFE” ‘is available immediately, highly affordable and effective, if implemented well’ https://t.co/Z3ufG0ujfb","['covid', 'covid19']"
537,1237699034472755201,Wed Mar 11 11:16:59 +0000 2020,Great Britain,"Sounds like the best idea so far:
#CoronaVirus #Covid19 https://t.co/emmW2fJISP","['corona', 'coronavirus', 'covid', 'covid19']"
542,1237299247621574657,Tue Mar 10 08:48:23 +0000 2020,Scotland: a European country,"Although the FT is asking tough questions, Scottish + Welsh governments appear to be getting dragged along by PM who’s an inveterate liar, rejecting the scientific advice prevailing in EVERY other country. Dr Leitch confirmed on #GMS that SG adhering to UKG strategy #coronavirus https://t.co/PdL5sKPSQE","['corona', 'coronavirus']"
558,1243443983306670080,Fri Mar 27 07:45:22 +0000 2020,Scotland,"In their desperation to save the economy (and no doubt their own investments) it looks like the UK government is determined to get #Coronavirus spreading through the population.

They are putting money ahead of lives

#Covid19 https://t.co/zWoEGZtab5","['corona', 'coronavirus', 'covid', 'covid19']"
564,1251936264410017792,Sun Apr 19 18:10:39 +0000 2020,Toronto/NYC/Bogota/Tokyo,"A concise summary of #COVID19 guidance based on psychological research.

For example, ""Minimise the ‘I’ and emphasise the ‘we’"" 
and ""Make a pledge to work together, through a multidisciplinary approach""

#COMBATCOVID19TOGETHER

https://t.co/chSwkc64Ge","['covid', 'covid19']"
567,1238828631331237888,Sat Mar 14 14:05:36 +0000 2020,"Perth, Western Australia","There are real issues with the #UK government's approach to #covid19, which summarises as: let heathy people get the disease (and survive) to develop #Herd_Immunity. 60% seems to be the figure. #ethics https://t.co/GgRQ5ibj9a","['covid', 'covid19']"
578,1237183999522394112,Tue Mar 10 01:10:25 +0000 2020,"Adelaide, South Australia",In our hospitals we all need to do this now but I have heard managers have banned it and there are very few surgical masks available #COVID19 https://t.co/vgbh5lmGpj,"['covid', 'covid19']"
580,1241477968872058880,Sat Mar 21 21:33:07 +0000 2020,"Baltimore, MD",Check it out #WASHTwitter- not to be missed for #COVID19 and handwashing. https://t.co/LYfkYSMWIK,"['covid', 'covid19']"
585,1254436070583930880,Sun Apr 26 15:44:00 +0000 2020,"Ottawa, Ontario",“The problem with all forms of expertise in public policy is that it is often the most formidable salespeople who claim greater certainty than the evidence allows who are invited to jet around the world advising governments.” #COVID19 https://t.co/wXSpnhHuKu,"['covid', 'covid19']"
590,1241290923318878209,Sat Mar 21 09:09:52 +0000 2020,Dystopia,"👇clearly shows the counter factual idiocy that drove Covid policy until the U turn. 

Also, shortly after this, Vallance enthusiastically supporting increased testing in front of the select committee was telling ...as if he was finally being listened to? https://t.co/eLAOAhGQcB",['covid']
596,1264686110866890754,Sun May 24 22:34:00 +0000 2020,Middle England ,"This thread says it all after that car crash of a @10DowningStreet  press conference today.  We needed leadership and we got none. Someone once said there are three essentials to leadership: humility, clarity and courage.  Failed on all 3 counts . #COVID19 #Pressconference https://t.co/EDG7d8guns","['covid', 'covid19']"
601,1243624713110380544,Fri Mar 27 19:43:31 +0000 2020,Scotland,"Why I'm not sorry for Johnson, Hancock or any other Tory government member or their advisors who test positive...
#COVID19 
#Johnson 
#SevenWastedWeeks
#ToryShambles https://t.co/bdmyK7PzMx","['covid', 'covid19']"
608,1265995288801619969,Thu May 28 13:16:12 +0000 2020,"Brussels, Belgium",Do you want to contribute slowing down the #COVID19 epidemic? Mind your behaviour! Read the #ESMH new article 👇 https://t.co/GiyylARXGz,"['epidemic', 'covid', 'covid19']"
617,1242506576126189568,Tue Mar 24 17:40:27 +0000 2020,"Cambridge, England","Really enjoyed working on this paper, fake news about #COVID19 has been rampant with dangerous consequences, evidence-based communication in times of crises is crucial. Wonderful to see 36 scientists from all over come together and knock this out in one week👏 https://t.co/kBeLgbxhem","['covid', 'covid19']"
629,1235138263763030016,Wed Mar 04 09:41:24 +0000 2020,London ,"Be mindful pls people. Us cancer heads are very sceptical to picking up stuff with our battered immune systems. Standard chemo puts you down in the dumps and the last place we want to be normally is AnE - more so now.

 Here's some simple tips 👇

#cancer #Covid_19 #chemo #nhs https://t.co/YDpevXVKvy https://t.co/rJmWea9ss3",['covid']
630,1244500371067645953,Mon Mar 30 05:43:04 +0000 2020,Sri Lanka,#COVID19SL we have adopted 1km distancing but we have also taken much more drastic measures as one province indefinite curfew while rest of the country intermittent curfew. One death so far since first local case on 13th March. Something is going right I would say https://t.co/oWUPKseKZK,"['covid', 'covid19']"
640,1249066393716371457,Sat Apr 11 20:06:49 +0000 2020,Southwest Florida,Science is our friend in fighting this pandemic. Just wondering aloud if Jared or Ivanka or any of the other Trumpians will read this cover to cover? https://t.co/Pg6CNS1GFk,['pandemic']
657,1257375178025316355,Mon May 04 18:22:57 +0000 2020,,One issue with political polarization during a pandemic is that it might lead different segments of the population to arrive at different conclusions about the threat in the situation and appropriate actions 👇🏻👇🏻👇🏻 https://t.co/1RFsBtBpBT,['pandemic']
678,1249357367197798400,Sun Apr 12 15:23:02 +0000 2020,"Philadelphia, PA ","This is how you disseminate actionable evidence-based science during a pandemic. What a Herculean effort. Let's get it in front of the public, media, and policy makers. Bravo to this team!!! @jayvanbavel https://t.co/WyTLzOl39r",['pandemic']
681,1250194168883941376,Tue Apr 14 22:48:12 +0000 2020,"Cambridge, MA & #Bilbao #Basque",Improving public policy capabilities through #behavioraleconomics during #COVID19 #coronavirus #StayHome period @HarvardBIG https://t.co/9xsIBkbvU5,"['corona', 'coronavirus', 'covid', 'covid19']"
692,1238106896223080450,Thu Mar 12 14:17:41 +0000 2020,Valencia,Why the UK is out of step with rest of world on #COVID19 . Not medical advice but an untested social science which started with best selling airport book. https://t.co/FQV4ZX26ti,"['covid', 'covid19']"
693,1242518117273698309,Tue Mar 24 18:26:18 +0000 2020,"London, England",Great piece on the importance of #communications in a #crisis @irmglobal dep chair comments  #PR  #crisismanagement #COVID19 #riskmanagement https://t.co/bmDa4Pp4YG,"['covid', 'covid19']"
695,1244939603255099392,Tue Mar 31 10:48:25 +0000 2020,"Hertfordshire, UK",Join us for our webinar on Maintaining Health and Wellbeing during the Covid-10 pandemic this Thurs 3.30pm https://t.co/JKWBfgEkV9,"['pandemic', 'covid']"
709,1264687305845084161,Sun May 24 22:38:45 +0000 2020,"London, innit ","Read this import thread on how vital consistent #COVID19 #comms is, and why #BorisJohnson failed to provide it: https://t.co/8ivmSuAvZt","['covid', 'covid19']"
719,1241018054852689920,Fri Mar 20 15:05:35 +0000 2020,UK,@SwitchFinder what do you think are the main points that need to be made re. this in relation to our #Covid_19 situation? https://t.co/CaQYdn07Zg,['covid']
729,1256216795003920386,Fri May 01 13:39:57 +0000 2020,,Behavioural #Science and Disease Prevention: #Psychological Guidance via the @BPSOfficial. #Covid_19 https://t.co/GqAu0Y9TbC,['covid']
740,1238013294620934144,Thu Mar 12 08:05:45 +0000 2020,"Angoulême, France",Please take the time to read this and understand what’s happening and how to stop this or we will all suffer a huge amount! #COVID19 https://t.co/J9ilFGjiiH,"['covid', 'covid19']"
750,1235225692490653696,Wed Mar 04 15:28:49 +0000 2020,"London, England","Very interesting and rather useful paper about the importance of our behaviour and the spread of the #coronavirus using the  COM-B model (capability, opportunity and motivation) https://t.co/LZHGh9Bi84","['corona', 'coronavirus']"
752,1264673012260929538,Sun May 24 21:41:57 +0000 2020,Glasgow,A must read thread 👇 #COVID19 #cummmings #dominiccummimgs https://t.co/t5MlipqARo,"['covid', 'covid19']"
758,1260213115310034948,Tue May 12 14:19:54 +0000 2020,Oxfordshire,"Now this really is common sense - what the UK Government SHOULD be doing, 35 pages of it #coronavirus #COVID19 https://t.co/SODHR8CbpH","['corona', 'coronavirus', 'covid', 'covid19']"
785,1238756506117574656,Sat Mar 14 09:19:00 +0000 2020,Liverpool/Chester,@iandonald_psych explains government strategy to #coronavirus #COVID19. @cat28grace @emmxline @HelenBlellock @PaulaBlellock @MattyRyan99 so you can spread it to others!! https://t.co/cwAmO7SXbd,"['corona', 'coronavirus', 'covid', 'covid19']"
793,1251164487656206339,Fri Apr 17 15:03:54 +0000 2020,"Brussels, Belgium","⬇️⬇️⬇️ Read about our unit, our work, and how we contribute to the fight against #Covid_19. #StrongerTogether https://t.co/tgVQMNWZnb",['covid']
794,1238219581916921866,Thu Mar 12 21:45:27 +0000 2020,Oxford,"https://t.co/rvSbQC94O8
This is the profile of the UK gov #coronavirus science advisor. Of course he is a oxbridge graduate, but he is NOT a virologist, epidemiologist, or even a GP. https://t.co/7QrDPI0Yud","['corona', 'coronavirus']"
796,1258042919325446144,Wed May 06 14:36:19 +0000 2020,"Washington, DC","I'm looking forward to listening to this webinar today at 3pm EST on #BehavioralEconomics #BehavioralScience for dealing with #COVID19 

(English w/Spanish translation - which raises the profound question: ""Do people comportarse the same way they behave?""  :-) ) https://t.co/l3rsfX347G","['covid', 'covid19']"
797,1247438871492562944,Tue Apr 07 08:19:37 +0000 2020,"Perth, Western Australia",There’s definitely scope for more application of #socialmarketing principles in government comms around #Covid19. @DrJoyParkinson - point #1 is exactly what we were just taking about! https://t.co/NCg6h6n5iW,"['covid', 'covid19']"
809,1238361796798550016,Fri Mar 13 07:10:34 +0000 2020,"Thirsk, England","I bloody hope they're right.
I'm genuinely scared for my husband and father and other people I love who are more vulnerable to #COVID19.
Trump is playing politics, #BorisJohnson needs to put his big boy pants on. https://t.co/iRVShhHbeo","['covid', 'covid19']"
816,1245421146809524225,Wed Apr 01 18:41:54 +0000 2020,,Famous law professors can't resist opining on #coronavirus apparently. https://t.co/3Jz5YsyAbh,"['corona', 'coronavirus']"
835,1248297226897506306,Thu Apr 09 17:10:25 +0000 2020,,Helpful slides with examples of how behavioral science can contribute to fighting the #coronavirus (by @jayvanbavel): https://t.co/xR2LYfjC5U,"['corona', 'coronavirus']"
836,1261283827143622656,Fri May 15 13:14:32 +0000 2020,"Johannesburg, South Africa","An interesting read: https://t.co/hC9KxUu0S1. The authors emphasise that ""the #COVID19 response to the pandemic by @GovernmentZA has been excellent thus far – role modelling strong, rational, evidence-informed, empathic &amp; coherent leadership. #EIDMinCOVID19 #NavigateUncertainty https://t.co/3q49ODwjam","['pandemic', 'covid', 'covid19']"
