,created_at,hashtags,favorite_count,id,reweet_id,retweet_screen_name,lang,place,possibly_sensitive,retweet_count,text,user_screen_name,user_followers_count,user_location,user_name,user_screen_name.1,user_time_zone
56,Sun Mar 15 00:32:33 +0000 2020,Corona coronavirus Covid_19,0,1238986408552992768,,,en,,,0,"Behavioral science experiment:
Would you rather 1 million deaths with a mortality rate of 0.01% or 1 million deaths with a mortality rate of 1%.
#Corona #coronavirus #Covid_19
@danariely @danielsusskind",ronen321,104,,RYS,ronen321,
57,Mon Apr 20 11:18:04 +0000 2020,GetYourGeekOn NerdItUp Covid19India COVID COVID__19,0,1252194819524313090,,,en,,False,0,Pretty much a gentle nudge encouraging everyone to read up by recommending a few bits as a starting point📚 📖 🤓 #GetYourGeekOn #NerdItUp💪🏻#Covid19India #COVID #COVID__19 https://t.co/6VemNlzFzv,shriyamisra,187,"ÜT: 28.60879,77.230913",Shriya Misra,shriyamisra,
58,Sat Apr 04 18:49:54 +0000 2020,votebankpolity,0,1246510321457602560,,,en,"Ahmadabad City, India",False,0,But why they r spitting manhandling doing sexual miss conduct .. they r representing their community everyone represent own country r community n should act accordingly why hypocrisy to nudge blame on d other side @ysjagan #votebankpolity https://t.co/VgOEU3VKCm,GuddalSinha,179,,Guddal Sinha,GuddalSinha,
63,Tue Apr 21 21:01:52 +0000 2020,COVID19 Degrowth,1,1252704126019960844,,,en,,False,1,"During #COVID19, Amazon is essentially confirming @DanielAlpert's Oversupply &amp; @ProfTimJackson's '#Degrowth' theses by nudging its shoppers to buy less in order to relieve their supply chain https://t.co/cIePYJ6RSq @davidpilling @EvonomicsMag @David_S_Wilson @econnaturalist",DanBuk4,1314,,Daniel Buk,DanBuk4,
64,Fri Mar 13 06:59:05 +0000 2020,,7,1238358907464159232,,,en,,False,1,"Amen to this 👇
Given the variation in international approaches towards COVID-19, we need access to the background on which these UK decisions are based. Even if using 'science and evidence' , what's the point if we all take our own action through lack of understanding and trust? https://t.co/sveYJmV0sW",helen__parrott,946,United Kingdom,Helen Parrott,helen__parrott,
66,Wed Mar 18 04:30:55 +0000 2020,covid19 bangalore,1,1240133556493565953,,,en,,False,0,The latest The behavioural science Daily! https://t.co/tlx7t7hJ4F Thanks to @InsightsIAS #covid19 #bangalore,davidmccann_cx,720,"Bengaluru, India",David McCann,davidmccann_cx,
67,Sat Mar 14 08:42:56 +0000 2020,,0,1238747429794729984,,,en,,False,0,"This thread was slightly comforting but at the same time it is based the assumptions related to behavioural science which is highly risky, but we shall see. https://t.co/UKwfUs4b0u",Ore_Nicole,1021,"London, England",Ore Nicole,Ore_Nicole,
75,Sun Mar 15 19:11:47 +0000 2020,,1,1239268073875607552,,,en,,False,0,Thought provoking https://t.co/LdCq3fnOUt,Khawar69,3141,Islamabad,Khawar Azhar,Khawar69,
78,Wed Mar 04 20:42:11 +0000 2020,COVID19 behaviourchange,4,1235304555228925953,,,en,,False,2,Why don’t people (adequately) hand wash when everywhere and everyone is telling them to do it? Useful insights. #COVID19 #behaviourchange https://t.co/6Ew06N6eeH,ljmorlewis,200,,Lesley Lewis,ljmorlewis,
79,Sat Apr 04 16:55:23 +0000 2020,StayHome COVID19 music,1,1246481504148094979,,,en,,False,0,#StayHome during #COVID19 and make #music instead! Here’s a nudge if you’re lacking some creativity today. https://t.co/zhvlTom1TU,BarFrogMusic,2679,"Nashville, TN",BarFrog Music,BarFrogMusic,
81,Sat Mar 14 09:40:17 +0000 2020,coronavirus,2,1238761860721266688,,,en,,False,0,When British CSO said London’s strategy was underpinned by ‘behavioural science’ I wanted to weep. My 79 yr old mum has COPD &amp; missing part of a lung after cancer. We need decisions based on real science. Leave these people to ponder why people are buying bog roll #coronavirus https://t.co/6GNGGzmRaG,scoutfinchreads,492,Belfast,Maria McCourt,scoutfinchreads,
82,Fri Mar 06 09:13:22 +0000 2020,theautonomousenterprise responsibleautonomy efficiency scaleability coronavirus,1,1235855984578293760,,,en,,False,1,"Discipline makes Daring possible: Silver lining? Perhaps Coronavirus will nudge us into working better?
#theautonomousenterprise #responsibleautonomy #efficiency #scaleability #coronavirus https://t.co/a9e57SO03W https://t.co/GTdE25Bc7x",TheGestalter,3665,"Kent, England",Kirsten Gibbs,TheGestalter,
86,Mon Mar 16 10:11:33 +0000 2020,,0,1239494507038683136,,,en,,False,0,"I’m an Irish person,living in the UK and currently on holiday#Madeira.My view of the media coverage is global https://t.co/SUpTVD8ro1 just looks fucking crazy and irresponsible from here. Can’t wait to get home from this calm beautiful and responsible island - not. https://t.co/cUHZ3sSDSy",Nmfoc176,87,Corona Ville ,A Lert,Nmfoc176,
97,Fri Mar 27 21:43:32 +0000 2020,,0,1243654913445564416,,,en,,False,0,"I’m glad this got written. It’s interest hoe powerful the influences are they permit/refuse publication, even I’m a “scientific environment “? https://t.co/XgR7ajBsFs",phildr,1758,"East Lothian, scotland",Phil Donnelly-Rooney,phildr,
98,Thu Apr 16 15:19:35 +0000 2020,,13,1250806047830310912,,,en,,False,14,Question: WHAT influence has the “Nudge Unit” or Dominic Cummings personally had or continue to have on the actions of the Government in tackling Coronavirus? https://t.co/CNOxOqE6jj,TomLondon6,61601,London,Tom London,TomLondon6,
99,Fri Mar 20 03:15:39 +0000 2020,coronavirus,0,1240839390420586496,1.2406239757613138e+18,doctorshaib,en,,False,74,"RT @Doctorshaib: A helpful #coronavirus, nudge to friends, family and colleagues for keeping a low profile. https://t.co/3MKCFH3J7S",JohnBerkeley9,434,,John Berkeley (ex Labour),JohnBerkeley9,
103,Tue Mar 10 01:13:23 +0000 2020,Overheard newsroom coronavirus,6,1237184745127047169,,,en,,,1,#Overheard in the @BloombergAU  #newsroom -- ``You know people are actually scared of the #coronavirus and staying at home when there's still an avocado in the fridge in the Sydney office at 11.45am'' ... best reply: ``Take advantage of others' irrational behaviour!'',ByMattBurgess,382,,Matt Burgess,ByMattBurgess,
107,Tue Apr 07 21:48:18 +0000 2020,,2,1247642382293561345,,,en,,False,0,"""Of course, should behaviour change as governments would wish, actual outcomes will be less terrifying than the models had originally forecast. This is not evidence that the policy was unnecessary: Rather, it is evidence that it worked."" https://t.co/b5jKA0D6r7",FairDuty,463,"Treaty Six - Edmonton, Canada",Meera Nair,FairDuty,
111,Mon Mar 23 22:01:36 +0000 2020,boris Lockdownuk herd nudge coronavirus,0,1242209911708270593,,,en,"Petersfield, England",,0,#boris finally calls for a #Lockdownuk 3 weeks later than he could have - nice one - the bet was lost along with #herd and #nudge #coronavirus,Wadadli,116,"ÜT: 51.279965,-0.952918",Stuart W Hill,Wadadli,
112,Sun Mar 22 20:37:56 +0000 2020,COVID19,0,1241826468407250946,1.2418259076371825e+18,eurohumph,en,,,11,"RT @eurohumph: Social nudging, Dutch-style... #COVID19.",catherinemep,34932,Oxford,Catherine Bearder former MEP🔶🕷,catherinemep,
115,Tue Apr 21 08:50:17 +0000 2020,,0,1252520018459234306,,,en,,False,0,@AklTransport ..... nudge nudge wink wink.... https://t.co/MUZrmQIZFN,fabienne_bovis,76,"Auckland Region, New Zealand",Fabienne Bovis,fabienne_bovis,
118,Sun Mar 15 00:30:53 +0000 2020,coronavirus,0,1238985987788656640,,,en,,False,0,"Thank you, @nytdavidbrooks, for always nudging us toward the second mountain. | Pandemics Kill Compassion, Too You may not like who you’re about to become. #coronavirus  https://t.co/SbFs6K5SmZ",tammykennon,1068,"Avon, CO",tammy kennon,tammykennon,
122,Tue Mar 10 16:44:37 +0000 2020,COVID19,0,1237419095466708992,,,en,,False,0,"Oh behavior change, you elusive beast you .... #COVID19  https://t.co/Iunw1AMXr4",dylankendall,958,Los Angeles,dylankendall,dylankendall,
123,Fri May 01 18:03:11 +0000 2020,Covid19,11,1256283036703916033,,,en,,False,4,"#Covid19 has made us rethink our hygiene habits. How to improve them in shared spaces such as gyms? Here, I explore the importance of reciprocity and choice architecture to promote cleanliness. Honoured to be in @BPPjournal! And hoping this can help inform our post-pandemic life https://t.co/u9Mn3LTzkv",cristinaparilli,1136,United States,Cristina Parilli,cristinaparilli,
132,Thu Mar 26 19:17:17 +0000 2020,,28,1243255720700719107,,,en,,False,11,I did notice Boris Johnson's voice go a bit weird when he mentioned Oxford the other day. He sounded really sketchy. If he had been selling a car I'd have walked away https://t.co/G5mnkVRLGR,WillBlackWriter,100186,"Cambridge, Europe",Will Black,WillBlackWriter,
134,Sat Mar 14 08:38:11 +0000 2020,Covid_19 COVID_19uk,1,1238746232060698624,,,en,,False,1,Excellent thread explaining the UK's bold but risky #Covid_19 strategy. A nice zinger at the end for those who make it that far (can what I just did be described as a behavioural nudge?) #COVID_19uk https://t.co/cqXxEarVEW,JBuchananBKK,8948,Hong Kong,James Buchanan จิมมี่,JBuchananBKK,
141,Fri Mar 20 11:02:41 +0000 2020,Covid19,42,1240956925983981569,,,en,,False,26,‘Nudging’ relies on a dangerous mix of autonomy &amp; ignorance: it assumes that people act autonomously but that they are best left in darkness about the political context that structures their action #Covid19 @jana_bacevic https://t.co/XGX7W3LcKv,DiscoverSoc,17486,,Discover Society,DiscoverSoc,
151,Wed Mar 11 10:59:38 +0000 2020,coronavirus,184,1237694665824047111,,,en,,False,117,Government #coronavirus science advisor Dr David Halpern tells me of plans to ‘cocoon’ vulnerable groups. https://t.co/dhECJNbmnI,BBCMarkEaston,35667,"London, UK",Mark Easton,BBCMarkEaston,
152,Fri Mar 13 13:53:56 +0000 2020,coronavirus,0,1238463307788541953,,,en,,False,0,Why is the government relying on nudge theory to fight #coronavirus? https://t.co/WcjNFnmAOZ,ereguly,7886,Rome,Eric Reguly,ereguly,
154,Tue Apr 21 09:08:59 +0000 2020,Tories COVID19 NHS PPE BorisJohnson,0,1252524723893866496,,,en,,,0,"@CCHQPress @SkyNews Amazing how desperate #Tories have become now they realise tactics from Dominic Cummings' seemingly infallible ""Get Brexit Done"" behavioural science playbook, do not work during a pandemic...😑 #COVID19 #NHS #PPE #BorisJohnson",polynorph,564,European Union 🇪🇺,Mahesh Patil,polynorph,
160,Fri Mar 20 13:05:47 +0000 2020,,1,1240987905566420994,,,en,,False,0,The evidence that behavioural science should be at the heart of government strategy includes an op ed arguing that behavioural science should be at the heart of government strategy. https://t.co/eHaXHowyuI,NevilleMorley,4815,Darkest Somerset,Neville Morley,NevilleMorley,
172,Thu Mar 12 16:05:39 +0000 2020,CobraMeeting Covid_19 CoronavirusPandemic COVID19,104,1238134067847139330,,,en,,False,83,"Update: #CobraMeeting, Dominic Cummings &amp; the nudge team have won, they want you to catch #Covid_19 because that is the quickest &amp; cheapest way to flush #CoronavirusPandemic from the UK. You need to use your instincts if your vulnerable you need to protect your self. #COVID19 https://t.co/4b5M68Lt4P",mi6rogue,15908,Get #exercisecygnus here→,MI6 Rogue 🇬🇧,mi6rogue,
178,Sat Mar 14 09:23:25 +0000 2020,,1,1238757614747607040,,,en,,False,0,What a good way of thinking about behaviour change. https://t.co/HdC1f9Ya0a,EdanStarforth,252,"Manchester, England",DrJvG,EdanStarforth,
181,Sat Mar 14 19:22:54 +0000 2020,,0,1238908479718465538,1.238905604917334e+18,peterjukes,en,,,90,RT @peterjukes: Forget all behavioural science stuff. Look at the number of people on respirators - that’s the life saving element,AndreaAndreamax,542,Devon,andrea #holdgovernmenttoaccount 🇪🇺✊🐟#SardinesUK,AndreaAndreamax,
183,Thu Apr 02 15:59:01 +0000 2020,COVID19,2,1245742542903283712,,,en,,False,2,"""I saw people this weekend shaking hands with each other...I understand, maybe it's just habit. But we've got to stop, folks. We've really got to stop this.” Using anonymous mobility data in tracking behavior change in response to #COVID19. https://t.co/MWUR6hoHuM https://t.co/HoRgYT3pmN",MuinJKhoury,2937,"Atlanta, GA",Muin J. Khoury,MuinJKhoury,
186,Tue Apr 21 20:58:25 +0000 2020,,0,1252703257958461446,1.2526897733004575e+18,MrMalky,en,,,21,"RT @MrMalky: He didn't get it wrong
And no amount of you ""nudging"" in return for a knighthood, will convince us otherwise",Sylv_Taylor,2686,East coast of Scotland,Oor Sylvia Taylor,Sylv_Taylor,
188,Thu Mar 12 16:09:09 +0000 2020,coronavirus,2,1238134948332294144,,,en,,False,1,Seems that part of what is making the UK government's approach to #coronavirus different to other countries is our reliance on behavioural science (a branch of psychology) rather than public health. I wonder if this is because our healthcare system is different? /1 https://t.co/GowsaVcREb,SnellArthur,5099,UK,Arthur Snell,SnellArthur,
189,Fri Mar 27 21:46:53 +0000 2020,COVID19 RemoteTeaching TheReffittLife,9,1243655756827832322,,,en,,,0,"Day 3 - Remote Teaching: Currently ‘teaching from the couch’ nursing a headache, and home alone with 3 kids.  Still emailing and nudging Ss to complete work and I just had to tell a P, this will never be perfect but we will get it done #COVID19 #RemoteTeaching #TheReffittLife",MKPo,345,Ohio USA,Po Reffitt,MKPo,
191,Mon Apr 20 14:06:02 +0000 2020,statusquobias covid19crisis,8,1252237090869243904,,,en,,False,1,"1. This is an incredibly valuable portrait of the profound pull of #statusquobias and cultural pressures and the need, somehow, to ""pull a Kahneman"" and step outside your own reactions to avoid missing a profound rupture in ""normal."" Hardly restricted to China. #covid19crisis https://t.co/fXkEfF61yr https://t.co/9DGCklSmwT",Revkin,87744,"Hudson Valley, NY, USA",Andrew Revkin,Revkin,
195,Sun Mar 29 14:21:18 +0000 2020,COVID19 COVID19UG,0,1244268400597057536,,,en,,False,0,Behaviour change in 2020. #COVID19 #COVID19UG https://t.co/YMlymUBzXi,JpNyange,124,,JP_Nyange,JpNyange,
197,Sun Mar 15 08:07:17 +0000 2020,coronavirus,0,1239100843024154624,,,en,,False,1,"Take a hint from the sharpest brain on the planet. 

Rest of the world thinks UK strategy is bonkers.

#coronavirus https://t.co/YeiWz5pSY9",AlistairNic,1641,"Manchester, England",Alistair Nicholls,AlistairNic,
203,Fri Apr 03 20:49:19 +0000 2020,,3,1246177987424288768,,,en,,False,0,Thanks for the shout-out! https://t.co/zDUlcrIeu8,ASTHO,12855,"Arlington, VA",ASTHO,ASTHO,
205,Fri Apr 24 10:37:21 +0000 2020,,0,1253634125879222274,,,en,,False,0,"https://t.co/BlG9Ujf97n

the 'behavioural science' behind the Govt. policy in the UK is worse that this, by a looooong shot. https://t.co/X0AakAHmG8",coreluminous,147,UK,corneilius,coreluminous,
206,Wed Apr 15 10:39:05 +0000 2020,BananaDay,26,1250373071372013570,,,en,,False,15,"Even when we know what we should eat to have a healthy diet, we sometimes need a ‘nudge’ to help us make those better choices. 
Today is #BananaDay. Choose a banana over a sweet. https://t.co/gVja0VzYei",WFP_Ghana,919,,WFP Ghana,WFP_Ghana,
214,Wed Apr 08 09:43:40 +0000 2020,,0,1247822409945604096,,,en,,False,0,haha.. wait for this corona virus to go.. you will face isolation from international community.. https://t.co/hn1diu1Mko,vi7jay,431,sector 2814,VJ 🌐,vi7jay,
226,Wed Mar 25 07:43:19 +0000 2020,trust science policy media covid19 coronavirus,4,1242718693844570114,,,en,,False,2,"Another example where #trust in trustworthy #science, #policy makers and #media is crucial to tackle global challenges such as the #covid19 #coronavirus pandemic. @CassSunstein @LiamDelaneyEcon @mariabaghramian https://t.co/uTyQmaKo5G",PERITIAnews,289,Europe,"PERITIA - Policy, Expertise and Trust",PERITIAnews,
238,Thu Mar 12 22:52:22 +0000 2020,,0,1238236419124088833,1.2380924580152934e+18,faisalislam,en,,,190,RT @faisalislam: Mark interviews the nudge unit behavioural scientist whose advice has driven the epidemic response so far -,StFilansDream,6440,Scotland: a European country,Stephen Dedalus 🏴󠁧󠁢󠁳󠁣󠁴󠁿🇮🇪🇪🇺,StFilansDream,
239,Thu Apr 02 08:52:12 +0000 2020,coronavirus COVIDー19 India WhereIsAmitShah TajMahal coronainindia 21daylockdown,0,1245635131294932994,,,en,,,0,"@Puneetvizh @shaistasalam1 Let’s ask @smritiirani how many #coronavirus #COVIDー19 tests #India is doing each day? Will she lookup from her Whatsapp group and answer? Can @WHO nudge her and @PMOIndia to test, test, test? #WhereIsAmitShah? Hiding in #TajMahal? #coronainindia #21daylockdown",Almond687,302,,5⭐️,Almond687,
244,Sat Mar 21 08:52:40 +0000 2020,coronavirus SecretScienceIsNotScience,175,1241286593924730880,,,en,,False,108,"Just ten days ago this was the governments ‘science advisor’

Now we know the idea of herd immunity for #coronavirus was dangerous nonsense

In a democracy we should all, always ask questions. And science should always be interrogated

#SecretScienceIsNotScience https://t.co/wRfPkaCKLL",GreenPartyMolly,54706,South West,Green💚Molly,GreenPartyMolly,
246,Sun Mar 22 01:24:19 +0000 2020,,0,1241536150508056578,1.2414876236942295e+18,HotepJesus,en,,,65,RT @HotepJesus: Maybe somebody (Wuhan Institute of Virology + Bill Gates) gave them a little nudge to help combine them?,GNBNClub,422,,Michelle,GNBNClub,
251,Wed Apr 08 13:29:15 +0000 2020,,1,1247879180836093958,,,en,,False,0,Love this visualization. It has a lot of ideas packed in it https://t.co/bvzjffJ5kh,Tosca5Oaks,272,"Cazenovia, New York, USA",Tosca Bruno-van Vijfeijken,Tosca5Oaks,
267,Mon Mar 16 09:48:00 +0000 2020,,0,1239488578788511744,,,en,,False,0,"Americans do not obey suggestions - if you want them to obey you can’t just simply nudge them, you must douse them with a firehose! https://t.co/oIBmSolcxZ",Datsko,138,,Datsko,Datsko,
268,Tue Mar 31 22:08:15 +0000 2020,coronavirus PhysicalDistancing masksforall DoGood,0,1245110686801371136,,,en,,,0,"""Change in behavior"" to slow the spread of #coronavirus askes Dr. Birx. The most difficult tasks for humans, behavior change for their own good.  
#PhysicalDistancing 
#masksforall 
#DoGood",LLLLegz,91,Las Vegas,M. A. Saunders,LLLLegz,
274,Sun Apr 05 23:52:20 +0000 2020,,0,1246948818568052736,1.2469390949885993e+18,Mistress_LeBeau,en,,,1,"RT @Mistress_LeBeau: Good people doing good things.

Plus, they're my friends, so... y'know... *nudge*",Engineerista,726,Calibrating,Engineerista,Engineerista,
277,Sun Mar 22 19:22:46 +0000 2020,WilmasReview workfromhome buerohund postdog COVID19 flattenthecurve StayAtHome,8,1241807551320281089,,,en,,False,1,"#WilmasReview of the week | #workfromhome #buerohund #postdog https://t.co/XVIYAeR82K @PAIR_ZU @zeppelin @beaglefacts | read how to fight #COVID19 with behavioural science @ESRIDublin #flattenthecurve #StayAtHome 
https://t.co/5p3yj23LQy https://t.co/2az2KZZHXA",FloKeppeler,449,Friedrichshafen,Flo Keppeler,FloKeppeler,
280,Thu Apr 30 21:17:51 +0000 2020,,1,1255969638657261568,,,en,,False,0,"More than a nudge, a push maybe https://t.co/RRvqN87ukj",YusufSohoye,182,,Yusuf Sohoye,YusufSohoye,
285,Sat Mar 14 14:05:36 +0000 2020,UK covid19 Herd_Immunity ethics,1,1238828631331237888,,,en,,False,1,"There are real issues with the #UK government's approach to #covid19, which summarises as: let heathy people get the disease (and survive) to develop #Herd_Immunity. 60% seems to be the figure. #ethics https://t.co/GgRQ5ibj9a",some_wise,645,"Perth, Western Australia",Michael J Wise,some_wise,
293,Fri Mar 20 14:53:24 +0000 2020,,0,1241014988891774977,,,en,,False,0,Sounds like a good read. https://t.co/0hJVarUjm3,ds4si,1771,Boston,kenneth bailey,ds4si,
294,Tue Mar 31 04:24:09 +0000 2020,COVID19,1,1244842898060750849,,,en,,False,0,"More power to you. Nudging through positive behavioural prompts and enabling digital choice architecture like virtual Hotspots, gamification and more will become an important communication tool to fight #COVID19. https://t.co/ZkDWtGPmFP",NudgingforKids,731,"New York, NY",NudgingforKids,NudgingforKids,
296,Sat Mar 21 21:25:04 +0000 2020,ButcherJohnson EugenicCummings CoronaVirus,2,1241475939567112197,,,en,,False,0,"#ButcherJohnson &amp; #EugenicCummings just trying to look big &amp; clever! But killing 0000s of us in this pissing contest
#CoronaVirus https://t.co/9ty6TRB2lV",Lifelandlady,7290,citizen of the world,LifelongLandlady 🔶 🐟,Lifelandlady,
297,Tue Mar 03 23:33:51 +0000 2020,evolution coronavirus,1,1234985369529020416,,,en,,False,0,"Just saw a guy casually cough into his hands

Guess he doesn’t know that elbows only exist for coughing into? They literally serve no other purpose, except maybe to nudge someone when they’re about to make a bad tweet

(He didn’t nudge me) #evolution #coronavirus https://t.co/NNHhrrI6Tr",MikeGpharmD,150,,Mike wear your mask G,MikeGpharmD,
299,Sat Mar 14 22:36:37 +0000 2020,,2,1238957233712619525,,,en,,False,1,Funny you should ask: https://t.co/nL9BeGfMC4 https://t.co/nq2GgtVfUe,WesPlattTweets,3476,"Durham, NC",WesPlattTweets,WesPlattTweets,
302,Fri Mar 27 12:00:26 +0000 2020,COVID19,58,1243508173304213504,,,en,"Nairobi, Kenya",False,20,"Indeed. One of the most powerful tools for behavior change is the creative industry.

Somali music industry had produced this song as part of efforts to educate the public and create awareness of #COVID19 

@Fatumaabdulahi @RAbdiCG https://t.co/fTpCxnVVuE",Fbukhaari,8329,Global Citizen,Farah bukhaari,Fbukhaari,
305,Wed Mar 11 17:04:39 +0000 2020,COVID19 coronavirus,1,1237786527851327488,,,en,,False,0,"Suggested books

~ Abundance by @PeterDiamandis 
~ Thinking Fast and Slow by Daniel Kahneman
~ The Black Swan by @nntaleb 

Start working on your mind. 
Say to yourself, Ooin! I am doing well.  

Ooin by @mrmacaronii 

#COVID19 #coronavirus https://t.co/HMW0e5pn1z",iAmOtada,134,"Toronto, ON",iAmOtada,iAmOtada,
313,Tue Mar 31 18:15:29 +0000 2020,,0,1245052108044300288,1.245051231849988e+18,SFestivus,en,,,2,"RT @SFestivus: Wink Wink
Nudge Nudge
America",SFestivus,42,"West Menlo Park, CA",Saint Festivus,SFestivus,
314,Mon Mar 23 21:56:50 +0000 2020,COVID19 freedomfromfreedomto,1,1242208709352263681,,,en,,False,0,"""Right now we are sacrificing basic freedom of movement and assembly, freedom to go to school or to work."" Taiwan and Singapore show different choices. What choice will you side with? #COVID19 #freedomfromfreedomto https://t.co/EZYB47WYiR",wawhsroom121,190,,wawhsroom121,wawhsroom121,
315,Tue Apr 07 03:55:49 +0000 2020,COVID19 COVID19Experts,6,1247372480966090752,,,en,,False,7,"Knowledge from behavioural science to law is needed to tackle the #COVID19 pandemic.

The #COVID19Experts database is a collaboration between @HumanitiesAU, @AcadSocSci, @ACOLA_Aus, @ATSE_au and @Science_Academy. It is championed by @ScienceChiefAu. https://t.co/McoxbneMNo",Science_Academy,50513,"Canberra, Australia",Australian Academy of Science,Science_Academy,
316,Sun Mar 29 21:15:47 +0000 2020,,0,1244372705866022915,,,en,,False,0,Corruption! https://t.co/60XeMiBOoo,no1fiftiesfan,174,uk,fiftiesfan,no1fiftiesfan,
318,Thu Mar 26 22:37:44 +0000 2020,,0,1243306168644231169,,,en,,False,0,No real surprise here. https://t.co/k6AyT9V603,DuncanGiddens,1289,"Somerset, England, UK",Duncan Giddens 🕷🇪🇺🍷🌍⚽️,DuncanGiddens,
322,Tue Mar 24 23:38:27 +0000 2020,,14,1242596669801132032,,,en,,False,2,Honored to have been part of this great initiative. https://t.co/y2aDcHIZuc,jetten_j,1480,University of Queensland,Jolanda,jetten_j,
323,Tue Apr 14 14:27:51 +0000 2020,SciComm COVID19,8,1250068254695047171,,,en,,False,4,"Let's talk about this wonderful survey by @UWMadison 's Marcus Brauer, @brossardd, et al. on Physical Distancing in Wisconsin and how it relates to our messaging for behavior change. (Thread 1/5) #SciComm #COVID19 

https://t.co/Al0aN5GAvF",TheCosmicRey,1594,,"Reyhaneh Maktoufi, PhD 🌟",TheCosmicRey,
331,Tue Mar 24 09:43:04 +0000 2020,,0,1242386441021394947,,,en,,False,1,"Has any research been done with human breast milk to treat or cure covid 19? I apologize if this is a waste of time but I woke in the middle of the night with this thought for some very odd reason and had a major need to send this message to someone of significance.

Gerry Potvin https://t.co/5Jkm4FW7Cv",gpotvin33,4,,Gerry Potvin,gpotvin33,
