,Unnamed: 0,created_at,hashtags,favorite_count,id,reweet_id,retweet_screen_name,lang,place,possibly_sensitive,retweet_count,text,user_screen_name,user_followers_count,user_location,user_name,user_screen_name.1,user_time_zone,text_cl,subkeywords,relevant_subkwords
74,303,Tue Mar 24 14:05:36 +0000 2020,,1,1.24245251025164E+018,,,en,,False,0,"Don't listen to me, listen to your own nudge unit advisors, @B_I_tweets, who wrote on Feb 24 about how being transparent and maintaining public trust were crucial.

https://t.co/6akz1yKxNs",alimanfoo,7717,"Oxford, England",Alistair Miles,alimanfoo,,"don't listen to me, listen to your own nudge unit advisors, @b_i_tweets, who wrote on feb 24 about how being transparent and maintaining public trust were crucial.

https://t.co/6akz1ykxns","['nudge unit', 'nudge']",['nudge unit']
75,304,Mon Mar 16 21:38:11 +0000 2020,COVID19,0,1.23966730067821E+018,,,en,,,0,"The UK is talking about using nudge theory, that means making the action that most, reasonable people would agree is the best choice, the easiest or the default choice. If we all agree that reducing possible transmission of #COVID19 is the best choice, we need to make it easy.",DelsolClaire,3212,"Waterford, Ireland",Claire Cullen Delsol 🇮🇪 🇪🇺👣🎃,DelsolClaire,,"the uk is talking about using nudge theory, that means making the action that most, reasonable people would agree is the best choice, the easiest or the default choice. if we all agree that reducing possible transmission of #covid19 is the best choice, we need to make it easy.","['nudge', 'nudge theory', 'covid']",['nudge theory']
82,332,Sat Mar 14 09:26:23 +0000 2020,nudgeunit herdimmunity coronavirus,4,1.23875836159368E+018,,,en,,False,2,"Why is the UK government relying on the expertise of *psychologists* to formulate their public health policies!? Shouldn't this be based on epidemiology? #nudgeunit #herdimmunity #coronavirus 

https://t.co/qreYMCmQnz

https://t.co/IzN64MD3VH https://t.co/KmaEGHReza",yoginho,2677,"Klosterneuburg, Österreich",Yogi Jaeger,yoginho,,"why is the uk government relying on the expertise of *psychologists* to formulate their public health policies!? shouldn't this be based on epidemiology? #nudgeunit #herdimmunity #coronavirus 

https://t.co/qreymcmqnz

https://t.co/izn64md3vh https://t.co/kmaeghreza","['nudgeunit', 'psychologists', 'psychologist', 'nudge', 'corona', 'herdimmunity']","['nudgeunit', 'psychologists', 'herdimmunity']"
97,386,Thu May 14 14:08:38 +0000 2020,coronavirus Covid19 Covid19UK,2,1.26093505533519E+018,,,en,,False,0,".@BBCNews doing a great job as a secondary nudge unit for Number 10

Happy scenes of people starting to exit #coronavirus lockdown in New Zealand....without facts about why New Zealand has done so much better at eliminating #Covid19 than UK

#Covid19UK

https://t.co/yE7Shhh3Wq",alexander_minh,3031,East of England,Minh Alexander,alexander_minh,,".@bbcnews doing a great job as a secondary nudge unit for number 10

happy scenes of people starting to exit #coronavirus lockdown in new zealand....without facts about why new zealand has done so much better at eliminating #covid19 than uk

#covid19uk

https://t.co/ye7shhh3wq","['nudge unit', 'nudge', 'corona', 'covid']",['nudge unit']
103,421,Wed May 13 21:24:06 +0000 2020,StayAlert BehaviouralInsightsTeam coronavirus COVID19 Rothschild BillGates BorisJohnson,7,1.2606822547345E+018,,,en,,False,3,Where Did This #StayAlert Bollocks Come From #BehaviouralInsightsTeam? #coronavirus #COVID19 #Rothschild #BillGates #BorisJohnson https://t.co/u2nb6OyaKr,TornadoNewsLink,4807,"Londonderry, Northern Ireland",TornadoNewsLinker,TornadoNewsLink,,where did this #stayalert bollocks come from #behaviouralinsightsteam? #coronavirus #covid19 #rothschild #billgates #borisjohnson https://t.co/u2nb6oyakr,"['behaviouralinsightsteam', 'behaviouralinsight', 'behaviouralinsights', 'corona', 'covid']",['behaviouralinsightsteam']
110,461,Thu Mar 19 10:50:05 +0000 2020,HerdImmunityScandal coronavirus herdimmunity,273,1.2405913674889E+018,,,en,,False,178,"@peterjukes @BorisJohnson @Schofe @hollywills @mvdct @CereinynOrd @afneil @JeremyVineOn5 @FullFact @Peston @JIMrichards1010 @astroehlein @clmazin @paulwaugh @IanDunt @Keir_Starmer @C4Ciaran @jonsnowC4 @cathynewman @AndyBurnhamGM @ronanburtenshaw @eddieizzard @bbclaurak @NickyAACampbell @ThatTimWalker @markaustintv @MrMarkBeaumont @MrMichaelSpicer @PaulLewis @HackedOffHugh @MattHancock @Telegraph @grantshapps @whippletom @thetimes @imperialcollege @MollyJongFast @mehdirhasan @johnpilger @ggreenwald @piersmorgan @GaryLineker @robdelaney @caitlinmoran @Baddiel @guardian @PeterStefanovi2 @davidschneider @DavidLammy 31/. When the full story of the #HerdImmunityScandal is written, the role of the govt-funded Behavioural Insights Team (‘Nudge Unit’) who reportedly lead on the #coronavirus  response, will be key.

Here their head, David Halpern, explains #herdimmunity. https://t.co/zXjkJPv3g2",StefSimanowitz,41938,stefan.simanowitz@amnesty.org,Stefan Simanowitz,StefSimanowitz,,"@peterjukes @borisjohnson @schofe @hollywills @mvdct @cereinynord @afneil @jeremyvineon5 @fullfact @peston @jimrichards1010 @astroehlein @clmazin @paulwaugh @iandunt @keir_starmer @c4ciaran @jonsnowc4 @cathynewman @andyburnhamgm @ronanburtenshaw @eddieizzard @bbclaurak @nickyaacampbell @thattimwalker @markaustintv @mrmarkbeaumont @mrmichaelspicer @paullewis @hackedoffhugh @matthancock @telegraph @grantshapps @whippletom @thetimes @imperialcollege @mollyjongfast @mehdirhasan @johnpilger @ggreenwald @piersmorgan @garylineker @robdelaney @caitlinmoran @baddiel @guardian @peterstefanovi2 @davidschneider @davidlammy 31/. when the full story of the #herdimmunityscandal is written, the role of the govt-funded behavioural insights team (‘nudge unit’) who reportedly lead on the #coronavirus  response, will be key.

here their head, david halpern, explains #herdimmunity. https://t.co/zxjkjpv3g2","['halpern', 'nudge unit', 'behavioural insights team', 'behavioural insight', 'behavioural insights', 'nudge', 'corona', 'herdimmunity']","['halpern', 'nudge unit', 'behavioural insights team', 'herdimmunity']"
126,523,Fri Mar 13 23:29:52 +0000 2020,coronavirus coronovirusuk,0,1.23860824621629E+018,,,en,,,0,@CMO_England The WHO and leading scientific experts agree that the UK is not doing nearly enough in the face of the pandemic. Relying on Nudge theory and herd immunity is incorrect. Social distancing must be implemented. #coronavirus #coronovirusuk,olga_ostrovsky,5,London,olga ostrovsky,olga_ostrovsky,,@cmo_england the who and leading scientific experts agree that the uk is not doing nearly enough in the face of the pandemic. relying on nudge theory and herd immunity is incorrect. social distancing must be implemented. #coronavirus #coronovirusuk,"['nudge', 'nudge theory', 'pandemic', 'corona', 'herd immunity']","['nudge theory', 'herd immunity']"
131,548,Wed Mar 25 13:19:51 +0000 2020,,1,1.24280338464374E+018,,,en,,False,0,"4⃣Case in point the director of the Nudge unit interviewed by the BBC on the government's response to the epidemic when he isn't an epidemiologist. 

https://t.co/N5rmpgCsfl",tomjs,332,England,Thomas Saunders,tomjs,,"4⃣case in point the director of the nudge unit interviewed by the bbc on the government's response to the epidemic when he isn't an epidemiologist. 

https://t.co/n5rmpgcsfl","['nudge unit', 'nudge', 'epidemic']",['nudge unit']
144,586,Sun May 17 14:56:09 +0000 2020,,3,1.26203417507231E+018,,,en,,False,0,Nudge Unit didn’t seem to appreciate that it’s much easier to terrify people than it is to calm them down. https://t.co/vtRmVaoUny,DGWilkinson,2052,,Derrick Wilkinson,DGWilkinson,,nudge unit didn’t seem to appreciate that it’s much easier to terrify people than it is to calm them down. https://t.co/vtrmvaouny,"['nudge unit', 'nudge']",['nudge unit']
147,592,Wed Mar 11 11:17:04 +0000 2020,,3,1.23769905585944E+018,,,en,,False,1,@templaine @ks_1968 @brucemcd23 Looks like the nudge unit needed a nudge back in January. (PH ad campaign in UK launched in March ) https://t.co/Xk4mWUgvxP,SarahRosemary3,1460,,Sarah Rosemary,SarahRosemary3,,@templaine @ks_1968 @brucemcd23 looks like the nudge unit needed a nudge back in january. (ph ad campaign in uk launched in march ) https://t.co/xk4mwugvxp,"['nudge unit', 'nudge']","['nudge unit', 'nudge']"
151,603,Sat Mar 14 08:46:26 +0000 2020,NudgeTheory COVID19,1,1.23874831116892E+018,,,en,,,0,@wendyburn @WesselyS As long as they don’t accuse @wesselyS of being a virologist selling the  #NudgeTheory as the most reasonable weapon against #COVID19 ...,DrFulli,898,Paris,Ivana Fulli,DrFulli,,@wendyburn @wesselys as long as they don’t accuse @wesselys of being a virologist selling the  #nudgetheory as the most reasonable weapon against #covid19 ...,"['nudge', 'nudgetheory', 'covid']",['nudgetheory']
152,604,Wed May 13 14:38:50 +0000 2020,MSM COVID19 Lockdown,98,1.26058026674727E+018,,,en,,False,62,We now know that #MSM are working hand in hand with Govt Behavioural Nudge Unit in order coerce public into believing higher threat of #COVID19 and believe #Lockdown is still necessary. But this is just too desperate... https://t.co/gWo4GAg3TK,21WIRE,53663,USA,Patrick Henningsen,21WIRE,,we now know that #msm are working hand in hand with govt behavioural nudge unit in order coerce public into believing higher threat of #covid19 and believe #lockdown is still necessary. but this is just too desperate... https://t.co/gwo4gag3tk,"['nudge unit', 'nudge', 'covid']",['nudge unit']
155,627,Thu Mar 12 14:00:46 +0000 2020,,2,1.23810263695775E+018,,,en,,False,0,"I've just returned from University of Chicago Law School, home of nudges. Hugely important work that is transformative. But I wouldn't recommend relying on behavioural economists to manage a pandemic. https://t.co/5nxSVqLTYE",thom_brooks,22834,"Durham, UK & Westminster, UK",Thom Brooks,thom_brooks,,"i've just returned from university of chicago law school, home of nudges. hugely important work that is transformative. but i wouldn't recommend relying on behavioural economists to manage a pandemic. https://t.co/5nxsvqltye","['behavioural economists', 'behavioural economist', 'nudges', 'nudge', 'pandemic']","['behavioural economists', 'nudges'']"
157,634,Tue Mar 24 22:53:31 +0000 2020,,0,1.24258536455822E+018,,,en,,False,0,"48/

https://t.co/1bqiLuEj1H

https://t.co/6shvrhjl2P
""Using social and behavioural science to support COVID-19 pandemic response""

""large-scale behavior change""
""poses significant psychological burdens on individuals""
Insights from ""social and behavioural sciences are critical""",AC_FL_NonExp,204,"New Jersey, USA",Karen 📚,AC_FL_NonExp,,"48/

https://t.co/1bqiluej1h

https://t.co/6shvrhjl2p
""using social and behavioural science to support covid-19 pandemic response""

""large-scale behavior change""
""poses significant psychological burdens on individuals""
insights from ""social and behavioural sciences are critical""","['behavioural science', 'behavioural sciences', 'pandemic', 'covid']","['behavioural science', 'behavioural sciences']"
162,653,Mon Mar 30 14:14:18 +0000 2020,NudgeUnit COVID19,1,1.24462902518162E+018,,,en,,False,1,"#NudgeUnit “to harness behavioural science in Government to ‘nudge’ people into behaviours which save Government costs and drive up national GDP” 
“Behavioural Scientists told Government to use ‘Herd Immunity’ to Justify Business-As-Usual” 
#COVID19

 https://t.co/6799CyIZFK",Angie_RejoinEU,26113,London,#3.5% #FBPE #FBR #ResistanceIsNotFutile 😉,Angie_RejoinEU,,"#nudgeunit “to harness behavioural science in government to ‘nudge’ people into behaviours which save government costs and drive up national gdp” 
“behavioural scientists told government to use ‘herd immunity’ to justify business-as-usual” 
#covid19

 https://t.co/6799cyizfk","['nudgeunit', 'behavioural science', 'behavioural scientists', 'behavioural scientist', 'nudge', 'covid', 'herd immunity']","['nudgeunit', 'behavioural science', 'behavioural scientists', 'nudge', 'herd immunity']"
165,661,Sat Mar 14 11:14:25 +0000 2020,NudgeUnit Eugenics Coronavirus,0,1.23878555151759E+018,,,en,,False,3,"#NudgeUnit #Eugenics 
#Coronavirus may force UK doctors to decide who they’ll save | Jonathan Ives | Opinion | The Guardian https://t.co/EAeEyOi0aV",Angie_RejoinEU,26113,London,#3.5% #FBPE #FBR #ResistanceIsNotFutile 😉,Angie_RejoinEU,,"#nudgeunit #eugenics 
#coronavirus may force uk doctors to decide who they’ll save | jonathan ives | opinion | the guardian https://t.co/eaeeyoi0av","['nudgeunit', 'nudge', 'corona']",['nudgeunit']
191,776,Sun Mar 22 17:31:42 +0000 2020,uk coronavirus,3,1.24177960163186E+018,,,en,,False,1,Another crushing success of the #uk approach to #coronavirus. The model was built on massive theoretical hypothesis on behavioural science and nudge theory. Which of course have no empirical evidence. Genius! https://t.co/MXmx07NiMu,NicolaMelloni,2213,Toronto,Nicola Melloni,NicolaMelloni,,another crushing success of the #uk approach to #coronavirus. the model was built on massive theoretical hypothesis on behavioural science and nudge theory. which of course have no empirical evidence. genius! https://t.co/mxmx07nimu,"['behavioural science', 'nudge', 'nudge theory', 'corona']","['behavioural science', 'nudge theory']"
196,798,Thu Mar 12 08:50:11 +0000 2020,coronavirus,0,1.23802447738197E+018,,,en,,False,0,"I don’t understand ironic comments about the nudge unit being part of UK’s #coronavirus response. Changing small, daily habits of an unwilling population is pretty much their job description. https://t.co/8fdOwEPHQP",stefanoaugello,328,,Stefano Augello,stefanoaugello,,"i don’t understand ironic comments about the nudge unit being part of uk’s #coronavirus response. changing small, daily habits of an unwilling population is pretty much their job description. https://t.co/8fdowephqp","['nudge unit', 'nudge', 'corona']",['nudge unit']
209,847,Wed Mar 11 12:44:15 +0000 2020,coronavirus,7,1.23772099492573E+018,,,en,,,1,"I work at a university in London. Most of my students are from outside the UK, and one third are from China. They are increasingly concerned at the government’s casual approach to #coronavirus. Hearing that the so-called nudge unit is driving that approach, I can’t blame them.",johnbrissenden,1679,,BIG STRONG JACKIE GLEASON,johnbrissenden,,"i work at a university in london. most of my students are from outside the uk, and one third are from china. they are increasingly concerned at the government’s casual approach to #coronavirus. hearing that the so-called nudge unit is driving that approach, i can’t blame them.","['nudge unit', 'nudge', 'corona']",['nudge unit']
211,850,Mon Mar 16 06:45:52 +0000 2020,HerdImmunity UK coronavirus,0,1.23944274257457E+018,,,en,,False,0,"#HerdImmunity will the #UK’s #coronavirus strategy work? Ministers look to have given up on containment in favour of a novel approach some experts are wary of  Why is UK government listening to the ‘nudge unit’ on the pandemic, and…https://t.co/lEaiBBmySg https://t.co/vM34xOeKiz",ApprovedAmerica,420,USA,Approved America,ApprovedAmerica,,"#herdimmunity will the #uk’s #coronavirus strategy work? ministers look to have given up on containment in favour of a novel approach some experts are wary of  why is uk government listening to the ‘nudge unit’ on the pandemic, and…https://t.co/leaibbmysg https://t.co/vm34xoekiz","['nudge unit', 'nudge', 'pandemic', 'corona', 'herdimmunity']","['nudge unit', 'herdimmunity']"
213,854,Mon Apr 27 00:41:12 +0000 2020,,2,1.25457126465772E+018,,,en,,False,0,"“Lockdown begins to fray as Britain realises it can’t live like this” says @vodkaboris https://t.co/Nay7A6vvIj

The 680 odd psychologists 🙊 &amp; behaviour scientists 🤫 are quiet as ‘behavioural fatigue’ now kicks in. 

Would be interesting to see what their views are on this now. https://t.co/b3Bg9Hm6jU https://t.co/bqisnbde4I",ScottosMaximos,1164,London Cornish,Scottos Maximos,ScottosMaximos,,"“lockdown begins to fray as britain realises it can’t live like this” says @vodkaboris https://t.co/nay7a6vvij

the 680 odd psychologists 🙊 &amp; behaviour scientists 🤫 are quiet as ‘behavioural fatigue’ now kicks in. 

would be interesting to see what their views are on this now. https://t.co/b3bg9hm6ju https://t.co/bqisnbde4i","['psychologists', 'psychologist', 'behavioural fatigue']","['psychologists', 'behavioural fatigue']"
228,907,Wed Mar 11 13:49:09 +0000 2020,coronavirus,0,1.23773732903029E+018,,,en,,False,0,"How behaviour change nudges are behind the UK's approach to #coronavirus An interesting read 
https://t.co/9vFHuek4sM",Cameron_Fiona,1247,"London, England 🇪🇺 🇮🇪",Fiona Cameron,Cameron_Fiona,,"how behaviour change nudges are behind the uk's approach to #coronavirus an interesting read 
https://t.co/9vfhuek4sm","['behaviour change', 'nudges', 'nudge', 'corona']","['behaviour change', 'nudges']"
258,1002,Fri Mar 13 12:59:38 +0000 2020,UK RuggedIndividual USA coronavirus Covid_19 NudgeUnit,1,1.23844963983527E+018,,,en,,False,2,"Wow, the #UK is being even more #RuggedIndividual than the #USA when it comes to #coronavirus #Covid_19. Experts from the #NudgeUnit involved in decision making. Truly frightening. https://t.co/VNNlu4mcwG",4beautifulworld,1183,Planet Earth,Beautiful World,4beautifulworld,,"wow, the #uk is being even more #ruggedindividual than the #usa when it comes to #coronavirus #covid_19. experts from the #nudgeunit involved in decision making. truly frightening. https://t.co/vnnlu4mcwg","['nudgeunit', 'nudge', 'corona', 'covid']",['nudgeunit']
259,1007,Thu Mar 12 08:38:37 +0000 2020,,0,1.23802156584297E+018,,,en,,False,0,A kick up the backside to the nudge unit https://t.co/nWV9dxviov,traffyaston,630,"London, England",Tom Aston,traffyaston,,a kick up the backside to the nudge unit https://t.co/nwv9dxviov,"['nudge unit', 'nudge']",['nudge unit']
278,1071,Sat Mar 14 09:31:20 +0000 2020,decisionscience coronavirus behaviouraleconomics COVID_19uk discuss,1,1.23875961031777E+018,,,en,,False,3,"The #decisionscience underpinning the UK govt #coronavirus plan. 

The #behaviouraleconomics is fascinating - &amp; works.

But is #COVID_19uk too risky a thing to experiment on?

#discuss 

Behavioural scientists form new front in battle against coronavirus

https://t.co/6Uj8Q6j2uo",r0b_shaw,2430,Liverpool / Catalunya,Rob Shaw,r0b_shaw,,"the #decisionscience underpinning the uk govt #coronavirus plan. 

the #behaviouraleconomics is fascinating - &amp; works.

but is #covid_19uk too risky a thing to experiment on?

#discuss 

behavioural scientists form new front in battle against coronavirus

https://t.co/6uj8q6j2uo","['behavioural scientists', 'behavioural scientist', 'behaviouraleconomics', 'corona', 'covid']","['behavioural scientists', 'behaviouraleconomics']"
282,1083,Thu Mar 12 18:33:14 +0000 2020,,0,1.23817120876978E+018,1.23817017593915E+018,Bob__Hudson,en,,,1,RT @Bob__Hudson: This looks like the triumph of 'nudge theory' over medical science.,seusssl,1431,northumberland. uk.,seuss [ sue],seusssl,,rt @bob__hudson: this looks like the triumph of 'nudge theory' over medical science.,"['nudge', 'nudge theory']",['nudge theory']
284,1092,Sat Mar 14 11:14:27 +0000 2020,behaviouralscientists COVIDー19 coronavirus,1,1.23878556112667E+018,,,en,,False,0,"To all the #behaviouralscientists: sign&amp;share this open letter to the government concerning its Covid-19 response. If it is truly based on “behavioural fatigue”, an adequate evidence base in support of that decision is imperative. #COVIDー19  #coronavirus https://t.co/oJwBKhvCjZ",ElettraLatini,45,,Elettra Latini,ElettraLatini,,"to all the #behaviouralscientists: sign&amp;share this open letter to the government concerning its covid-19 response. if it is truly based on “behavioural fatigue”, an adequate evidence base in support of that decision is imperative. #covidー19  #coronavirus https://t.co/ojwbkhvcjz","['behaviouralscientists', 'behaviouralscientist', 'corona', 'covid', 'behavioural fatigue']","['behaviouralscientists', 'behavioural fatigue']"
294,1123,Wed Mar 25 13:39:31 +0000 2020,COVID19,3,1.24280833399792E+018,,,en,,,0,I hope #COVID19 kills nudge theory.,JackAChew,14255,Timperley | Manchester | UK,Jack Chew,JackAChew,,i hope #covid19 kills nudge theory.,"['nudge', 'nudge theory', 'covid']",['nudge theory']
300,1154,Mon Mar 16 14:33:23 +0000 2020,NudgeUnit coronavirus,0,1.23956039614461E+018,,,en,,,0,"#NudgeUnit using 'disgust' as a powerful tool in its #coronavirus strategy - not sure if we will ever go back to pre 2020 hand washing, or lack thereof",Claud_Mendoza,1892,,Claudia Mendoza,Claud_Mendoza,,"#nudgeunit using 'disgust' as a powerful tool in its #coronavirus strategy - not sure if we will ever go back to pre 2020 hand washing, or lack thereof","['nudgeunit', 'nudge', 'corona']",['nudgeunit']
311,1210,Sun Apr 26 15:30:01 +0000 2020,coronavirus Tories,0,1.25443255436046E+018,,,en,,False,1,"Nudge theory is a poor substitute for hard science in matters of life or death https://t.co/2zI6kfJTjH
Makes the very good point that David Halpern, the man who advocated nudge theory as part of the government #coronavirus response, part owns the firm that will benefit.
#Tories",WTBDavidG,2313,"Kent, UK",David Gillon,WTBDavidG,,"nudge theory is a poor substitute for hard science in matters of life or death https://t.co/2zi6kfjtjh
makes the very good point that david halpern, the man who advocated nudge theory as part of the government #coronavirus response, part owns the firm that will benefit.
#tories","['halpern', 'nudge', 'nudge theory', 'corona']","['halpern', 'nudge theory']"
327,1268,Sat Mar 14 08:40:38 +0000 2020,,0,1.23874684878712E+018,,,en,"Cambridge, England",False,0,"@johnlsheridan “it is not clear how much of this discussion of herd immunity – reportedly proposed by David Halpern, chief executive of the Behavioural Insights Team, and later blogged about by Robert Peston – is actual government policy” https://t.co/WCGZqAbx4X",Bari10,210,"Cambridge, England",Barry Tennison,Bari10,,"@johnlsheridan “it is not clear how much of this discussion of herd immunity – reportedly proposed by david halpern, chief executive of the behavioural insights team, and later blogged about by robert peston – is actual government policy” https://t.co/wcgzqabx4x","['halpern', 'behavioural insights team', 'behavioural insight', 'behavioural insights', 'herd immunity']","['halpern', 'behavioural insights team', 'herd immunity']"
